id,key,court_name_short,court_name_full,address_line_1,address_line_2,address_line_3,city,postcode,latitude,longitude,region,type,other_names
401,aylesbury_crown_court,Aylesbury,Aylesbury Crown Court,,,,Aylesbury,HP21 7FT,51.813681,-0.808913,South East,crown,
461,basildon_combined_court,Basildon,Basildon Combined Court,,,,Basildon,SS14 2EW,51.57257049,0.4547927639,East of England,crown,
404,birmingham_crown_court,Birmingham,Birmingham Crown Court,,,,Birmingham,B4 7NA,52.48309166,-1.894156363,West Midlands,crown,
428,blackfriars_crown_court,Blackfriars,Blackfriars Crown Court,,,,London,SE1 0BT,51.50255636,-0.1006471777,London,crown,
470,bolton_crown_court,Bolton,Bolton Crown Court,,,,Bolton,BL1 1SU,53.57820699,-2.43368919,North West,crown,
406,bournemouth_crown_court,Bournemouth,Bournemouth Crown Court,,,,Bournemouth,BH7 7DS,50.74794572,-1.81626577,South West,crown,
402,bradford_combined_court_centre,Bradford,Bradford Combined Court Centre,,,,Bradford,BD1 1JA,53.79257695,-1.749359271,Yorkshire and The Humber,crown,
408,bristol_crown_court,Bristol,Bristol Crown Court,,,,Bristol,BS1 1DA,51.45479644,-2.595002338,South West,crown,
154,burnley_combined_court_centre,Burnley,Burnley Combined Court Centre,,,,Burnley,BB11 1XD,53.78773038,-2.247153585,North West,crown,
755,caernarfon_crown_court,Caernarfon,Caernarfon Crown Court,,,,Caernarfon,LL55 2DF,53.14072879,-4.264067316,Wales,crown,
410,cambridge_crown_court,Cambridge,Cambridge Crown Court,,,,Cambridge,CB1 1BT,52.20680967,0.1368094365,East of England,crown,
163,canterbury_combined_court_centre,Canterbury,Canterbury Combined Court Centre,,,,Canterbury,CT1 1ZA,51.281894,1.094980004,South East,crown,
411,cardiff_crown_court,Cardiff,Cardiff Crown Court,,,,Cardiff,CF10 3PG,51.48455247,-3.180271121,Wales,crown,
412,carlisle_combined_court,Carlisle,Carlisle Combined Court,,,,Carlisle,CA1 1DJ,54.89343568,-2.931525742,North West,crown,
413,central_criminal_court,Central Criminal Court,Central Criminal Court,,,,London,EC4M 7EH,51.51549153,-0.1019972162,London,crown,
414,chelmsford_crown_court,Chelmsford,Chelmsford Crown Court,,,,Chelmsford,CM1 1EL,51.74249144,0.5006018832,East of England,crown,
415,chester_crown_court,Chester,Chester Crown Court,,,,Chester,CH1 2AN,53.18589235,-2.891793951,North West,crown,
172,chichester_combined_court_centre,Chichester,Chichester Combined Court Centre,,,,Chichester,PO19 1SX,50.837835,-0.77924,South East,crown,
180,coventry_combined_court_centre,Coventry,Coventry Combined Court Centre,,,,Coventry,CV1 2SN,52.40558609,-1.506439767,West Midlands,crown,
418,croydon_crown_court,Croydon,Croydon Crown Court,,,,Croydon,CR9 5AB,51.37333767,-0.09214917123,London,crown,
419,derby_combined_court_centre,Derby,Derby Combined Court Centre,,,,Derby,DE1 2XE,52.92243516,-1.47306907,East Midlands,crown,
2771,doncaster_justice_centre_north,Doncaster (North),Doncaster Justice Centre (North),,,,Doncaster,DN1 3HS,53.51899218,-1.129562761,Yorkshire and The Humber,crown,
