Offence,Act,Class 
Abandonment of children under two ,Offences against the Person Act 1861 s.27 ,C 
Abduction of defective from parent ,Sexual Offences Act 1956 s.21 ,D 
Abduction of unmarried girl under 16 from parent ,Sexual Offences Act 1956 s.20 ,J 
Abduction of unmarried girl under 18 from parent ,Sexual Offences Act 1956 s.19 ,D 
Abduction of woman by force ,Sexual Offences Act 1956 s.17 ,J 
Abstraction of electricity ,Theft Act 1968 s.13 ,F
Abstraction of electricity ,Theft Act 1968 s.13 ,G
Abstraction of electricity ,Theft Act 1968 s.13 ,K 
Abuse of position of trust ,Sexual Offences (Amendment) Act 2000 s.3 ,D 
Abuse of position of trust: causing a child to engage in sexual activity ,Sexual Offences Act 2003 s. 17 ,D 
Abuse of position of trust: causing a child to watch sexual activity ,Sexual Offences Act 2003 s. 19 ,D 
Abuse of trust: sexual activity in the presence of a child ,Sexual Offences Act 2003 s. 18 ,D 
Abuse of trust: sexual activity with a child ,Sexual Offences Act 2003 s. 16 ,D 
Acquisition by or supply of firearms to person denied them ,Firearms Act 1968 s.21(5) ,C 
"Acquisition, use or possession of criminal property ",Proceeds of Crime Act 2002 s.329 ,B 
Activities relating to opium ,Misuse of Drugs Act 1971 s.9 ,B 
Abandonment of children under two ,Offences against the Person Act 1861 s.27 ,C 
Abduction of defective from parent ,Sexual Offences Act 1956 s.21 ,D 
Abduction of unmarried girl under 16 from parent ,Sexual Offences Act 1956 s.20 ,J 
Abduction of unmarried girl under 18 from parent ,Sexual Offences Act 1956 s.19 ,D 
Abduction of woman by force ,Sexual Offences Act 1956 s.17 ,J 
Abuse of position of trust ,Sexual Offences (Amendment) Act 2000 s.3 ,D 
Abuse of position of trust: causing a child to engage in sexual activity ,Sexual Offences Act 2003 s. 17 ,D 
Abuse of position of trust: causing a child to watch sexual activity ,Sexual Offences Act 2003 s. 19 ,D 
Abuse of trust: sexual activity in the presence of a child ,Sexual Offences Act 2003 s. 18 ,D 
Abuse of trust: sexual activity with a child ,Sexual Offences Act 2003 s. 16 ,D 
Acquisition by or supply of firearms to person denied them ,Firearms Act 1968 s.21(5) ,C 
"Acquisition, use or possession of criminal property ",Proceeds of Crime Act 2002 s.329 ,B 
Activities relating to opium ,Misuse of Drugs Act 1971 s.9 ,B 
Acts outraging public decency ,Common law ,H 
Administering a substance with intent ,Sexual Offences Act 2003 s. 61 ,D 
"Administering chloroform, laudanum etc. ",Offences against the Person Act 1861 s.22 ,B 
Administering drugs to obtain intercourse ,Sexual Offences Act 1956 s.4 ,D 
Administering poison etc. so as to endanger life ,Offences against the Person Act 1861 s.23 ,B 
Administering poison with intent to injure etc. ,Offences against the Person Act 1861 s.24 ,C 
Affray ,Public Order Act 1986 s.3 ,H 
Aggravated arson ,"Criminal Damage Act 1971 s.1(2), (3) ",B 
Aggravated burglary ,Theft Act 1968 s.10 ,B 
Aggravated criminal damage ,Criminal Damage Act 1971 s.1(2) ,B 
Aggravated vehicle taking ,Theft Act 1968 s.12A ,H 
Aggravated vehicle taking resulting in death ,Theft Act 1968 s.12A ,B 
Agreeing to indemnify sureties ,Bail Act 1976 s.9(1) ,H 
Aiding and abetting suicide ,Suicide Act 1961 s.2 ,B 
Allowing or procuring child under 16 to go abroad to perform ,"Children and Young Persons Act 1933 ss.25, 26 ",J 
Allowing the death of a child ,Under Section 5 of the Domestic Violence Act 2004 ,B 
Armed robbery ,Theft Act 1968 s.8(1) ,B 
Arranging child sex offence ,Sexual Offences Act 2003 s. 14 ,J 
"Arson (other than aggravated arson) where value does not exceed £30,000 ",Criminal Damage Act 1971 s.1(3) ,C 
"Arson (where value exceeds £30,000) ",Criminal Damage Act 1971 s.1(3) ,B 
Assault by penetration ,Sexual Offences Act 2003 s. 2 ,J 
Assault occasioning actual bodily harm ,Offences against the Person Act 1861 s.47 ,C 
Assault of child under 13 by penetration ,Sexual Offences Act 2003 s. 6 ,J 
Assault with intent to commit buggery ,Sexual Offences Act 1956 s.16 ,J 
Assault with intent to resist arrest ,Offences against the Person Act 1861 s.38 ,H 
Assault with weapon with intent to rob ,Theft Act 1968 s.8(2) ,B 
Assaulting prison officer whilst possessing firearm etc. ,Criminal Justice Act 1991 s.90 ,B 
Assaults on officers saving wrecks ,Offences against the Person Act 1861 s.37 ,C 
Assisting illegal entry or harbouring persons ,Immigration Act 1971 s.25 ,C 
Assisting offenders ,Criminal Law Act 1967 s.4(1) ,I 
Assisting prisoners to escape ,Prison Act 1952 s.39 ,C 
"Attempt to cause explosion, making or keeping explosive etc. ",Explosive Substances Act 1883 s.3 ,A 
"Attempting to choke, suffocate, strangle etc. ",Offences against the Person Act 1861 s.21 ,B 
Attempting to injure or alarm the Sovereign ,Treason Act 1842 s.2 ,C 
Being drunk on an aircraft ,"Air Navigation Order 2005, article 75 ",H 
Blackmail ,Theft Act 1968 s.21 ,B 
Bomb hoax ,Criminal Law Act 1977 s.51 ,C 
Breach of anti-social behaviour order ,Crime and Disorder Act 1998 s. 1(10) ,H 
Breach of harassment injunction ,Protection from Harassment Act 1997 s. 3(6) ,H 
Breach of prison ,Common law ,C 
