Category,Band,Offence,Contrary to,Year and Chapter
1,1.1,Murder,Common Law,
1,1.1,Manslaughter,"Common Law, Offences against the Person Act 1861, s.5",1861 c. 100
1,1.1,Conspiracy to commit murder,"Criminal Law Act 1977, s.1",1977 c. 45
1,1.1,Corporate Manslaughter,"Corporate Manslaughter and Corporate Homicide Act 2007, s.1",2007 c. 19
1,1.1,Child destruction,"Infant Life (Preservation) Act 1929, s.1",1929 c. 34
1,1.1,Infanticide,"Infanticide Act 1938, s.1",1938 c. 36
1,1.2,Murder,Common Law,
1,1.2,Manslaughter,"Common Law, Offences against the Person Act 1861, s.5",1861 c. 100
1,1.2,Conspiracy to commit murder,"Criminal Law Act 1977, s.1",1977 c. 45
1,1.3,Murder,Common Law,
1,1.4,Manslaughter,"Common Law, Offences against the Person Act 1861, s.5",1861 c. 100
1,1.3,Conspiracy to commit murder,"Criminal Law Act 1977, s.1",1977 c. 45
1,1.3,Soliciting to commit murder,"Offences against the Person Act 1861, s.4   ",1861 c. 100
2,2.1,Causing explosion likely to endanger life or property,"Explosive Substances Act 1883, s.2",1883 c. 3
2,2.1,Attendance at a place used for terrorist training,"Terrorism Act 2006, s.8",2006 c. 11
2,2.1,Use etc. of nuclear weapons,"Anti-terrorism, Crime and Security Act 2001, s.47",2001 c. 24
2,2.1,Hijacking,"Aviation Security Act 1982, s.1",1982 c. 36
2,2.1,"Hijacking, destroying or damaging Channel Tunnel train or system ","Channel Tunnel (Security) Order 1994, Part II",1994 No. 570
2,2.1,Use etc. of chemical weapons,"Chemical Weapons Act 1996, s.2",1996 c. 6
2,2.1,Premises or equipment for producing chemical weapons,"Chemical Weapons Act 1996, s.11",1996 c. 6
2,2.1,Conspiracy to commit offences outside the United Kingdom,"Criminal Justice (Terrorism & Conspiracy) Act 1998, s.5 ",1998 c. 40
2,2.1,Torture,"Criminal Justice Act 1988, s.134",1988 c. 33
2,2.1,"Attempt to cause explosion, or making or keeping explosive with intent to endanger life or property","Explosive Substances Act 1883, s.3",1883 c. 3
2,2.1,Punishment for making or possession of explosive under suspicious circumstances,"Explosive Substances Act 1883, s.4",1883 c. 3
